species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Big skate,2004,WY,WY0,19,11,220.034337,222.8402193,2.805882242,104.0885305,105.3614926,664.3699065,401.7985081,198.1463255,997.6255242
Big skate,2004,WY,WY100,38,11,177.983005,178.9582888,0.975283747,57.43915213,92.78483286,333.2556177,401.7985081,198.1463255,997.6255242
Big skate,2004,WY,WY200,12,0,0,0,0,0,0,0,401.7985081,198.1463255,997.6255242
Big skate,2004,WY,WY300500,3,0,0,0,0,0,0,0,401.7985081,198.1463255,997.6255242
Big skate,2005,CGOA,CG0,117,34,315.6983764,312.7484233,-2.949953009,62.47237947,217.254745,481.8433614,417.8882343,279.2474704,674.3869315
Big skate,2005,CGOA,CG100,188,23,93.39514719,93.91564126,0.520494069,23.6657492,59.67914329,162.4635631,417.8882343,279.2474704,674.3869315
Big skate,2005,CGOA,CG200,73,4,11.51729673,11.2241697,-0.293127022,5.880741953,2.313582066,30.08000703,417.8882343,279.2474704,674.3869315
Big skate,2005,CGOA,CG300500,9,0,0,0,0,0,0,0,417.8882343,279.2474704,674.3869315
Big skate,2005,EY/SE,EY/SE0,17,5,22.08658852,22.29973134,0.213142814,8.747973667,8.263184154,41.46484787,66.30600656,22.73099712,154.7704263
Big skate,2005,EY/SE,EY/SE100,66,13,27.79987143,27.99325258,0.193381148,9.807050911,14.46781297,58.24112935,66.30600656,22.73099712,154.7704263
Big skate,2005,EY/SE,EY/SE200,25,0,0,0,0,0,0,0,66.30600656,22.73099712,154.7704263
Big skate,2005,EY/SE,EY/SE300500,7,2,16.27527996,16.01302265,-0.262257311,11.84879345,0,55.06444906,66.30600656,22.73099712,154.7704263
Big skate,2005,WGOA,WG0,60,7,98.02016873,99.71125294,1.691084204,64.89248875,24.55619691,374.1342085,125.6423026,30.86292235,427.3148608
Big skate,2005,WGOA,WG100,49,6,12.80505245,12.61507877,-0.189973681,4.867951981,6.306725444,25.66249514,125.6423026,30.86292235,427.3148608
Big skate,2005,WGOA,WG200,6,2,13.41121968,13.31597088,-0.095248793,7.821416875,0,27.51815707,125.6423026,30.86292235,427.3148608
Big skate,2005,WGOA,WG300500,4,0,0,0,0,0,0,0,125.6423026,30.86292235,427.3148608
Big skate,2005,WY,WY0,19,11,106.6811473,107.6269472,0.945799912,26.61539035,62.70186875,169.2823211,217.3421155,114.3050734,434.5695407
Big skate,2005,WY,WY100,41,11,93.1323019,92.68396939,-0.448332516,32.02429576,51.60320467,193.0100099,217.3421155,114.3050734,434.5695407
Big skate,2005,WY,WY200,11,2,16.96990484,17.03119892,0.06129409,12.95103731,0,72.27720974,217.3421155,114.3050734,434.5695407
Big skate,2005,WY,WY300500,3,0,0,0,0,0,0,0,217.3421155,114.3050734,434.5695407
Big skate,2006,CGOA,CG0,118,39,305.5354823,308.2896669,2.754184598,50.67207863,212.6364097,415.1543984,385.7394351,260.2159974,546.7239088
Big skate,2006,CGOA,CG100,179,21,75.96165824,74.96025929,-1.001398947,16.77533875,47.5795877,116.0064602,385.7394351,260.2159974,546.7239088
Big skate,2006,CGOA,CG200,76,1,2.585817484,2.489508945,-0.096308539,2.575014598,0,15.56305025,385.7394351,260.2159974,546.7239088
Big skate,2006,CGOA,CG300500,10,0,0,0,0,0,0,0,385.7394351,260.2159974,546.7239088
Big skate,2006,EY/SE,EY/SE0,17,2,16.25635283,16.15116505,-0.105187787,12.55098418,0,68.14613472,52.66608094,19.04038599,133.0972535
Big skate,2006,EY/SE,EY/SE100,69,14,36.62969374,36.51491589,-0.114777843,10.88738232,19.04038599,64.95111878,52.66608094,19.04038599,133.0972535
Big skate,2006,EY/SE,EY/SE200,20,0,0,0,0,0,0,0,52.66608094,19.04038599,133.0972535
Big skate,2006,EY/SE,EY/SE300500,8,0,0,0,0,0,0,0,52.66608094,19.04038599,133.0972535
Big skate,2006,WGOA,WG0,68,13,112.226906,113.3497295,1.122823494,37.85699285,60.85149828,221.8883705,135.0320372,66.14757785,279.2821322
Big skate,2006,WGOA,WG100,48,5,18.21955131,17.85196886,-0.367582447,7.979083321,5.296079572,41.81463835,135.0320372,66.14757785,279.2821322
Big skate,2006,WGOA,WG200,6,1,3.88135818,3.830338777,-0.051019404,3.643986955,0,15.57912333,135.0320372,66.14757785,279.2821322
Big skate,2006,WGOA,WG300500,3,0,0,0,0,0,0,0,135.0320372,66.14757785,279.2821322
Big skate,2006,WY,WY0,19,9,192.5871842,190.0735412,-2.513642944,82.02222191,88.58677969,498.854001,251.14012,109.3042118,646.16955
Big skate,2006,WY,WY100,37,4,40.03037327,39.53825718,-0.492116088,20.56063596,13.30588353,106.9673715,251.14012,109.3042118,646.16955
Big skate,2006,WY,WY200,12,5,21.95592252,21.52832157,-0.427600956,8.013689267,7.411548574,40.34817753,251.14012,109.3042118,646.16955
Big skate,2006,WY,WY300500,3,0,0,0,0,0,0,0,251.14012,109.3042118,646.16955
Big skate,2007,CGOA,CG0,118,30,430.8532396,432.7247517,1.871512153,103.6525293,277.222305,731.4210661,570.0306931,342.9976003,1018.013806
Big skate,2007,CGOA,CG100,185,16,117.7167916,119.09237,1.375578446,38.5250942,62.72463819,230.3021937,570.0306931,342.9976003,1018.013806
Big skate,2007,CGOA,CG200,77,3,18.22449145,18.21357131,-0.010920139,10.7578993,3.050657167,56.29054578,570.0306931,342.9976003,1018.013806
Big skate,2007,CGOA,CG300500,9,0,0,0,0,0,0,0,570.0306931,342.9976003,1018.013806
Big skate,2007,EY/SE,EY/SE0,18,5,18.18120367,18.34647946,0.165275784,6.998731863,7.257084919,32.80259227,31.06753298,13.70472857,58.74417242
Big skate,2007,EY/SE,EY/SE100,69,7,12.9416732,12.72105352,-0.220619672,4.737972161,6.447643651,25.94158014,31.06753298,13.70472857,58.74417242
Big skate,2007,EY/SE,EY/SE200,22,0,0,0,0,0,0,0,31.06753298,13.70472857,58.74417242
Big skate,2007,EY/SE,EY/SE300500,9,0,0,0,0,0,0,0,31.06753298,13.70472857,58.74417242
Big skate,2007,WGOA,WG0,62,6,86.4565829,87.32700046,0.870417565,37.82946329,32.61199813,186.907652,102.7938792,32.61199813,276.1264667
Big skate,2007,WGOA,WG100,50,1,15.06325253,15.46687878,0.403626246,15.71230877,0,89.21881476,102.7938792,32.61199813,276.1264667
Big skate,2007,WGOA,WG200,5,0,0,0,0,0,0,0,102.7938792,32.61199813,276.1264667
Big skate,2007,WGOA,WG300500,5,0,0,0,0,0,0,0,102.7938792,32.61199813,276.1264667
Big skate,2007,WY,WY0,20,8,109.7296818,109.7477297,0.018047938,35.19570244,51.00059205,194.6061486,225.4708519,106.381815,405.5881255
Big skate,2007,WY,WY100,39,11,108.5756294,110.9779244,2.402295048,31.78947447,55.38122299,187.3563148,225.4708519,106.381815,405.5881255
Big skate,2007,WY,WY200,11,1,4.764493922,4.74519776,-0.019296163,4.550184884,0,23.62566206,225.4708519,106.381815,405.5881255
Big skate,2007,WY,WY300500,3,0,0,0,0,0,0,0,225.4708519,106.381815,405.5881255
Big skate,2008,CGOA,CG0,119,31,266.4478639,266.6381178,0.190253909,52.37312295,184.8478689,390.4266144,384.4126737,248.6849077,611.8770715
Big skate,2008,CGOA,CG100,180,19,102.3763295,102.9383557,0.562026212,27.36398779,60.83266225,182.420074,384.4126737,248.6849077,611.8770715
Big skate,2008,CGOA,CG200,79,4,14.86379059,14.83620016,-0.027590428,7.731708595,3.00437656,39.03038314,384.4126737,248.6849077,611.8770715
Big skate,2008,CGOA,CG300500,9,0,0,0,0,0,0,0,384.4126737,248.6849077,611.8770715
Big skate,2008,EY/SE,EY/SE0,18,12,24.96791564,24.87704802,-0.090867615,6.636090984,14.67558327,41.77826203,65.02585257,35.39897969,141.5846816
Big skate,2008,EY/SE,EY/SE100,67,25,39.50792394,39.26890365,-0.239020284,14.72367612,20.72339642,96.69954705,65.02585257,35.39897969,141.5846816
Big skate,2008,EY/SE,EY/SE200,23,2,0.889985026,0.879900893,-0.010084133,0.601237264,0,3.106872546,65.02585257,35.39897969,141.5846816
Big skate,2008,EY/SE,EY/SE300500,10,0,0,0,0,0,0,0,65.02585257,35.39897969,141.5846816
Big skate,2008,WGOA,WG0,60,6,47.89628114,47.35952184,-0.536759301,19.36822489,20.48372248,109.4332563,77.7429991,32.44990994,185.2193214
Big skate,2008,WGOA,WG100,48,6,30.35671199,30.38347726,0.026765269,14.46057539,11.96618746,75.7860651,77.7429991,32.44990994,185.2193214
Big skate,2008,WGOA,WG200,6,0,0,0,0,0,0,0,77.7429991,32.44990994,185.2193214
Big skate,2008,WGOA,WG300500,5,0,0,0,0,0,0,0,77.7429991,32.44990994,185.2193214
Big skate,2008,WY,WY0,19,14,294.695108,296.1955278,1.500419769,72.65700141,184.7273949,492.459495,531.460004,324.3460426,893.8643319
Big skate,2008,WY,WY100,38,15,225.2487437,225.3744575,0.12571378,56.18337312,139.6186477,372.9321738,531.460004,324.3460426,893.8643319
Big skate,2008,WY,WY200,11,2,9.473052826,9.890018797,0.416965971,6.255445601,0,28.47266304,531.460004,324.3460426,893.8643319
Big skate,2008,WY,WY300500,2,0,0,0,0,0,0,0,531.460004,324.3460426,893.8643319
Big skate,2009,CGOA,CG0,118,44,497.5224371,493.7934139,-3.7290232,88.81623109,355.9156446,729.5948125,656.4014426,447.5354652,1005.092835
Big skate,2009,CGOA,CG100,182,23,130.0830068,130.9594905,0.876483662,32.14534246,79.53867961,210.1000307,656.4014426,447.5354652,1005.092835
Big skate,2009,CGOA,CG200,70,7,31.47590152,31.64853821,0.172636694,12.77963025,12.08114102,65.3979918,656.4014426,447.5354652,1005.092835
Big skate,2009,CGOA,CG300500,8,0,0,0,0,0,0,0,656.4014426,447.5354652,1005.092835
Big skate,2009,EY/SE,EY/SE0,14,4,33.41201352,33.75167088,0.339657356,17.81420734,6.704296405,83.79559847,99.8507963,45.6780492,212.3344195
Big skate,2009,EY/SE,EY/SE100,68,25,57.3713378,56.65595283,-0.715384964,14.46978009,37.39299546,101.1243297,99.8507963,45.6780492,212.3344195
Big skate,2009,EY/SE,EY/SE200,23,3,9.41376481,9.443172583,0.029407773,5.527362548,1.580757332,27.41449131,99.8507963,45.6780492,212.3344195
Big skate,2009,EY/SE,EY/SE300500,10,0,0,0,0,0,0,0,99.8507963,45.6780492,212.3344195
Big skate,2009,WGOA,WG0,59,11,130.3659327,129.4610524,-0.904880229,57.53777514,60.30450602,396.8386445,141.7222636,64.48389823,425.5785064
Big skate,2009,WGOA,WG100,52,5,12.38284961,12.26121114,-0.121638467,5.471337039,4.179392202,28.73986189,141.7222636,64.48389823,425.5785064
Big skate,2009,WGOA,WG200,5,0,0,0,0,0,0,0,141.7222636,64.48389823,425.5785064
Big skate,2009,WGOA,WG300500,5,0,0,0,0,0,0,0,141.7222636,64.48389823,425.5785064
Big skate,2009,WY,WY0,16,13,525.5409046,523.3679229,-2.172981712,134.9943801,322.2971443,863.7326474,790.6175923,468.7591962,1333.764512
Big skate,2009,WY,WY100,36,16,263.8772197,263.3160456,-0.56117408,72.37860759,146.4620519,451.8500656,790.6175923,468.7591962,1333.764512
Big skate,2009,WY,WY200,10,1,3.774852328,3.933623833,0.158771505,3.606042067,0,18.18179889,790.6175923,468.7591962,1333.764512
Big skate,2009,WY,WY300500,3,0,0,0,0,0,0,0,790.6175923,468.7591962,1333.764512
Big skate,2010,CGOA,CG0,121,50,532.1924163,536.9134726,4.721056324,86.53594063,378.6281901,721.4694219,666.9177353,456.8140949,971.1158749
Big skate,2010,CGOA,CG100,183,29,118.2789505,117.5332408,-0.745709712,32.48117603,74.15562916,212.8615262,666.9177353,456.8140949,971.1158749
Big skate,2010,CGOA,CG200,72,4,12.19886517,12.47102184,0.272156667,7.122144462,4.030275675,36.78492681,666.9177353,456.8140949,971.1158749
Big skate,2010,CGOA,CG300500,7,0,0,0,0,0,0,0,666.9177353,456.8140949,971.1158749
